folder_name,seed,max_steps,game,final_global_step,final_expl0,final_expl1,final_avg_exploitability,algorithm_name_config,alpha_config,anneal_lr_config,beta_config,clip_coef_config,clip_vloss_config,cuda_config,ent_coef_config,eval_every_config,gae_config,gae_lambda_config,gamma_config,iem_lr_config,learning_rate_config,max_grad_norm_config,norm_adv_config,num_envs_config,num_minibatches_config,num_steps_config,policy_head_config,target_kl_config,tsallis_q_config,update_epochs_config,vf_coef_config
2025-12-17_17-45-47-095146_f2ff7f,0,1000000,classical_phantom_ttt,1000448.0,1.0000676878571444,0.9999078238596716,0.999987755858408,iem_ppo,0.5,True,0.1,0.1,True,False,0.0,10,True,0.95,0.99,0.0001,0.00025,0.5,True,8,4,128,,,,4,0.5
2025-12-18_16-33-06-328447_57886e,0,1000000,classical_phantom_ttt,600064.0,0.9992629803135938,1.0006824127601772,0.9999726965368856,iem_ppo,0.5,True,0.1,0.1,True,False,0.0,10,True,0.95,0.99,0.0001,0.00025,0.5,True,8,4,128,,,,4,0.5
2025-12-18_19-27-15-102795_f0d9ed,0,1000000,classical_phantom_ttt,1000448.0,1.0000676878571444,0.9999078238596716,0.999987755858408,iem_ppo,0.5,True,0.1,0.1,True,False,0.0,10,True,0.95,0.99,0.0001,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-14_11-28-07-714521_a41ee1,1,3000000,classical_phantom_ttt,2200576.0,0.5394790368048843,0.6037691259001765,0.5716240813525304,iem_ppo,0.6,True,10.0,0.1,True,False,1.0,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-14_12-11-46-298991_765370,1,3000000,classical_phantom_ttt,3000320.0,0.2470008763603816,0.3076989255522153,0.2773499009562984,iem_ppo,0.6,True,10.0,0.1,True,False,0.5,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-14_13-41-24-756857_f347e6_0.3_seed1,1,3000000,classical_phantom_ttt,3000320.0,0.1824356581162172,0.1886903747930666,0.1855630164546419,iem_ppo,0.6,True,10.0,0.1,True,False,0.3,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-14_14-35-24-443555_39a70e_0.3_seed0,0,3000000,classical_phantom_ttt,3000320.0,0.1721455239488439,0.1847781783028169,0.1784618511258304,iem_ppo,0.6,True,10.0,0.1,True,False,0.3,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-14_16-06-08-670344_1bc7b1_0.4_seed0,0,3000000,classical_phantom_ttt,3000320.0,0.2014630253868561,0.2578564628413936,0.22965974411412482,iem_ppo,0.6,True,10.0,0.1,True,False,0.4,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-14_23-21-58-743637_adc759_0.2_seed0,0,3000000,classical_phantom_ttt,3000320.0,0.1588146584055693,0.1468016360859232,0.15280814724574626,iem_ppo,0.6,True,10.0,0.1,True,False,0.2,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-15_08-30-28-746693_3af8ee_0.1_seed0,0,3000000,classical_phantom_ttt,3000320.0,0.2486561557220274,0.3462453678689945,0.29745076179551094,iem_ppo,0.6,True,10.0,0.1,True,False,0.1,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-15_14-00-30-469450_2dd2d2_0.2_seed1,1,3000000,classical_phantom_ttt,3000320.0,0.2934389053182469,0.1466595715138935,0.22004923841607021,iem_ppo,0.6,True,10.0,0.1,True,False,0.2,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-15_14-56-54-420419_6bbf92_0.25_seed0,0,3000000,classical_phantom_ttt,3000320.0,0.2252213126993896,0.1630343133059298,0.1941278130026597,iem_ppo,0.6,True,10.0,0.1,True,False,0.25,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-15_15-51-47-669249_838895,0,5000000,classical_phantom_ttt,5000192.0,0.1743721322923557,0.1646317900190546,0.16950196115570515,iem_ppo,0.6,True,10.0,0.1,True,False,0.3,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-16_08-17-16-597422_85f0fa,0,5000000,classical_phantom_ttt,5000192.0,0.1510620955315447,0.137427837018234,0.14424496627488936,iem_ppo,0.6,True,10.0,0.1,True,False,0.2,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-16_11-34-16-939439_17b20b,0,5000000,classical_phantom_ttt,5000192.0,0.2782762976869908,0.1577465267973665,0.21801141224217865,iem_ppo,0.6,True,10.0,0.1,True,False,0.2,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-16_22-42-58-752357_eee274_0.995_good,0,5000000,classical_phantom_ttt,5000192.0,0.1805304494054657,0.1262965194160892,0.15341348441077746,iem_ppo,0.6,True,10.0,0.1,True,False,0.2,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-18_09-11-18-592073_394ce6_tsallis_iem_seed0,0,5000000,classical_phantom_ttt,5000192.0,0.149724535984805,0.1020247885574258,0.1258746622711154,iem_ppo,0.6,True,10.0,0.1,True,False,0.2,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-20_16-43-50-368597_916aeb_tsallis_noIem,0,5000000,classical_phantom_ttt,5000192.0,0.174347991594379,0.1377126973190415,0.15603034445671027,iem_ppo,0.6,True,0.0,0.1,True,False,0.2,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-20_19-24-29-719604_20bf95_seed1_noiem,1,3000000,classical_phantom_ttt,3000320.0,0.2650658146908778,0.1257684899738358,0.1954171523323568,iem_ppo,0.6,True,0.0,0.1,True,False,0.2,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-20_20-52-13-276277_6d6e5c_seed2_noiem,2,3000000,classical_phantom_ttt,3000320.0,0.2218080457577551,0.1374150188410132,0.17961153229938415,iem_ppo,0.6,True,0.0,0.1,True,False,0.2,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
